Links,Address,Description,Price
https://www.rightmove.co.uk/properties/119760677#/?channel=RES_BUY,"Marshgate Lane, Stratford, London, E15",2 bedroom apartment for sale,"£688,000"
https://www.rightmove.co.uk/properties/119968448#/?channel=RES_BUY,"Anthology Stratford Mill
Marshgate Late
London
E15 2NH",3 bedroom apartment for sale,"£680,000"
https://www.rightmove.co.uk/properties/111697091#/?channel=RES_BUY,"Eastway, Victoria Park",3 bedroom flat for sale,"£675,000"
https://www.rightmove.co.uk/properties/118164338#/?channel=RES_BUY,Peloton Avenue London E20,2 bedroom flat for sale,"£675,000"
https://www.rightmove.co.uk/properties/114544412#/?channel=RES_BUY,"Lantana Heights, Glasshouse Gardens, Stratford E20",2 bedroom apartment for sale,"£675,000"
https://www.rightmove.co.uk/properties/82148469#/?channel=RES_BUY,Station Street London E15,3 bedroom flat for sale,"£675,000"
https://www.rightmove.co.uk/properties/120005240#/?channel=RES_BUY,"Stratford Mill, London, E15",3 bedroom apartment for sale,"£675,000"
https://www.rightmove.co.uk/properties/119968331#/?channel=RES_BUY,"Anthology Stratford Mill
Marshgate Late
London
E15 2NH",3 bedroom apartment for sale,"£675,000"
https://www.rightmove.co.uk/properties/119459933#/?channel=RES_BUY,"Tandy Place,
London,
E20 3AS",3 bedroom apartment for sale,"£760,000"
https://www.rightmove.co.uk/properties/120172832#/?channel=RES_BUY,"Forrester Way, London, E15",2 bedroom maisonette for sale,"£675,000"
https://www.rightmove.co.uk/properties/113914574#/?channel=RES_BUY,"Lantana Heights, Glasshouse Gardens E20",2 bedroom apartment for sale,"£675,000"
https://www.rightmove.co.uk/properties/119206016#/?channel=RES_BUY,"Cooks Road,
London,
E15",3 bedroom duplex for sale,"£670,000"
https://www.rightmove.co.uk/properties/119206055#/?channel=RES_BUY,"Cooks Road,
London,
E15",3 bedroom duplex for sale,"£670,000"
https://www.rightmove.co.uk/properties/116735408#/?channel=RES_BUY,"Cooks Road,
London,
E15",3 bedroom duplex for sale,"£665,000"
https://www.rightmove.co.uk/properties/120166634#/?channel=RES_BUY,"Cooks Road,
London,
E15",3 bedroom duplex for sale,"£665,000"
https://www.rightmove.co.uk/properties/119205929#/?channel=RES_BUY,"Cooks Road,
London,
E15",3 bedroom duplex for sale,"£665,000"
https://www.rightmove.co.uk/properties/119792603#/?channel=RES_BUY,"Ash Road, Stratford",3 bedroom terraced house for sale,"£650,000"
https://www.rightmove.co.uk/properties/119205848#/?channel=RES_BUY,"Cooks Road,
London,
E15",2 bedroom duplex for sale,"£650,000"
https://www.rightmove.co.uk/properties/117010394#/?channel=RES_BUY,Wild Flowers Gardens London E3,3 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/118048280#/?channel=RES_BUY,"Stratosphere Tower, Stratford E15",2 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/117771791#/?channel=RES_BUY,"Manbey Park Road, London, E15",3 bedroom semi-detached house for sale,"£650,000"
https://www.rightmove.co.uk/properties/119088932#/?channel=RES_BUY,Station Street London E15,2 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/120007817#/?channel=RES_BUY,"Lock No.19, Bream Street, London, E3",3 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/118048364#/?channel=RES_BUY,Great Eastern Road London E15,2 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/118965536#/?channel=RES_BUY,"Douro Street, London, E3",2 bedroom terraced house for sale,"£650,000"
https://www.rightmove.co.uk/properties/119205728#/?channel=RES_BUY,"Cooks Road,
London,
E15",2 bedroom duplex for sale,"£650,000"
